时间,成交价,手数,买卖盘性质
10:08:27,45.21,330,卖盘
10:08:30,45.24,87,买盘
10:08:33,45.24,154,买盘
10:08:36,45.25,60,买盘
10:08:39,45.27,167,买盘
10:08:42,45.29,20,买盘
10:08:45,45.29,45,买盘
10:08:48,45.3,41,买盘
10:08:51,45.3,32,买盘
10:08:54,45.29,41,卖盘
10:08:57,45.29,83,买盘
10:09:00,45.27,79,卖盘
10:09:03,45.28,203,买盘
10:09:06,45.27,65,卖盘
10:09:09,45.28,38,买盘
10:09:12,45.31,42,买盘
10:09:15,45.28,14,卖盘
10:09:18,45.28,23,卖盘
10:09:21,45.31,32,买盘
10:09:24,45.3,27,卖盘
10:09:27,45.3,37,买盘
10:09:30,45.29,74,卖盘
10:09:33,45.29,97,卖盘
10:09:36,45.29,12,买盘
10:09:39,45.29,94,买盘
10:09:42,45.28,162,卖盘
10:09:45,45.29,39,买盘
10:09:48,45.3,20,买盘
10:09:51,45.29,62,卖盘
10:09:54,45.3,57,买盘
10:09:57,45.3,14,买盘
10:10:00,45.29,214,卖盘
10:10:03,45.29,125,买盘
10:10:06,45.29,47,买盘
10:10:09,45.28,30,卖盘
10:10:12,45.29,30,买盘
10:10:15,45.29,56,买盘
10:10:18,45.28,27,卖盘
10:10:21,45.28,20,买盘
10:10:24,45.28,41,卖盘
10:10:27,45.26,34,卖盘
10:10:30,45.27,21,买盘
10:10:33,45.27,30,买盘
10:10:36,45.27,62,买盘
10:10:39,45.28,32,买盘
10:10:42,45.3,21,买盘
10:10:45,45.32,16,买盘
10:10:48,45.33,15,买盘
10:10:51,45.29,61,卖盘
10:10:54,45.32,47,买盘
10:10:57,45.33,64,买盘
10:11:00,45.36,52,买盘
10:11:03,45.39,14,买盘
10:11:06,45.36,44,卖盘
10:11:09,45.33,21,卖盘
10:11:12,45.35,16,买盘
10:11:15,45.35,5,买盘
10:11:18,45.33,49,卖盘
10:11:21,45.32,62,卖盘
10:11:24,45.32,4,买盘
10:11:27,45.32,22,买盘
10:11:30,45.32,11,买盘
10:11:33,45.3,43,卖盘
10:11:36,45.29,10,卖盘
10:11:39,45.29,31,卖盘
10:11:42,45.3,40,买盘
