时间,成交价,手数,买卖盘性质
09:36:06,45.52,362,卖盘
09:36:09,45.43,662,卖盘
09:36:12,45.48,254,买盘
09:36:15,45.38,160,卖盘
09:36:18,45.32,195,卖盘
09:36:21,45.32,403,卖盘
09:36:24,45.32,452,卖盘
09:36:27,45.39,2075,买盘
09:36:30,45.4,468,买盘
09:36:33,45.48,1163,买盘
09:36:36,45.49,1000,卖盘
09:36:39,45.4,229,卖盘
09:36:42,45.43,103,卖盘
09:36:45,45.4,131,卖盘
09:36:48,45.36,203,卖盘
09:36:51,45.4,235,买盘
09:36:54,45.35,507,卖盘
09:36:57,45.38,115,卖盘
09:37:00,45.36,215,卖盘
09:37:03,45.36,232,卖盘
09:37:06,45.36,1747,卖盘
09:37:09,45.33,405,卖盘
09:37:12,45.33,256,买盘
09:37:15,45.32,276,卖盘
09:37:18,45.27,432,卖盘
09:37:21,45.25,181,卖盘
09:37:24,45.18,367,卖盘
09:37:27,45.18,284,卖盘
09:37:30,45.18,225,卖盘
09:37:33,45.14,363,卖盘
09:37:36,45.14,306,买盘
09:37:39,45.09,399,卖盘
09:37:42,45.07,1097,卖盘
09:37:45,45.07,640,卖盘
09:37:48,45.07,235,买盘
09:37:51,45.06,488,卖盘
09:37:54,45.06,461,买盘
09:37:57,45.03,922,卖盘
09:38:00,45.08,924,买盘
09:38:03,45.03,894,卖盘
09:38:06,45.1,335,买盘
09:38:09,45.08,383,卖盘
09:38:12,45.07,3610,卖盘
09:38:15,45.08,501,买盘
09:38:18,45.09,480,买盘
09:38:21,45.07,687,卖盘
09:38:24,45.08,183,买盘
09:38:27,45.11,187,卖盘
09:38:30,45.1,167,卖盘
09:38:33,45.11,254,买盘
09:38:36,45.14,178,买盘
09:38:39,45.15,180,买盘
09:38:42,45.17,169,买盘
09:38:45,45.17,277,买盘
09:38:48,45.2,215,买盘
09:38:51,45.18,246,卖盘
09:38:54,45.18,426,卖盘
09:38:57,45.18,69,卖盘
09:39:00,45.19,111,买盘
09:39:03,45.19,313,卖盘
09:39:06,45.21,83,买盘
09:39:09,45.21,55,卖盘
09:39:12,45.23,263,买盘
09:39:15,45.19,1024,卖盘
09:39:18,45.18,201,卖盘
09:39:21,45.16,312,卖盘
09:39:24,45.13,217,卖盘
09:39:27,45.18,199,买盘
09:39:30,45.14,610,卖盘
09:39:33,45.14,164,买盘
09:39:36,45.14,141,买盘
09:39:39,45.14,206,买盘
09:39:42,45.15,342,买盘
09:39:45,45.21,449,买盘
09:39:48,45.2,167,卖盘
09:39:51,45.23,34,卖盘
09:39:54,45.23,95,卖盘
09:39:57,45.22,81,卖盘
09:40:00,45.28,218,买盘
09:40:03,45.26,78,卖盘
09:40:06,45.28,127,买盘
09:40:09,45.29,155,买盘
09:40:12,45.29,274,卖盘
09:40:15,45.28,251,卖盘
09:40:18,45.28,146,买盘
09:40:21,45.28,160,卖盘
09:40:24,45.25,671,卖盘
09:40:27,45.25,146,买盘
09:40:30,45.25,114,卖盘
09:40:33,45.22,358,卖盘
09:40:36,45.22,156,买盘
09:40:39,45.19,151,卖盘
09:40:42,45.2,168,买盘
09:40:45,45.18,113,卖盘
09:40:48,45.17,114,卖盘
09:40:51,45.15,637,卖盘
09:40:54,45.11,106,卖盘
09:40:57,45.08,367,卖盘
09:41:00,45.08,188,卖盘
09:41:03,45.05,314,卖盘
09:41:06,45.04,439,卖盘
09:41:09,45.01,627,卖盘
09:41:12,45.01,497,买盘
09:41:15,45.0,1953,卖盘
09:41:18,45.06,2948,买盘
09:41:21,45.17,651,买盘
09:41:24,45.2,416,买盘
09:41:27,45.2,183,卖盘
09:41:30,45.25,116,买盘
09:41:33,45.19,175,卖盘
09:41:36,45.28,218,买盘
09:41:39,45.26,189,卖盘
09:41:42,45.24,129,卖盘
09:41:45,45.26,186,买盘
09:41:48,45.26,57,买盘
09:41:51,45.24,188,卖盘
09:41:54,45.25,169,买盘
09:41:57,45.24,184,卖盘
09:42:00,45.24,196,买盘
09:42:03,45.25,213,买盘
09:42:06,45.26,106,买盘
09:42:09,45.25,263,卖盘
09:42:12,45.25,203,买盘
09:42:15,45.27,98,买盘
09:42:18,45.29,154,买盘
09:42:21,45.28,204,卖盘
09:42:24,45.3,102,买盘
09:42:27,45.29,131,卖盘
09:42:30,45.29,173,买盘
09:42:33,45.27,448,卖盘
09:42:36,45.29,217,买盘
09:42:39,45.27,326,卖盘
09:42:42,45.28,305,买盘
09:42:45,45.29,81,买盘
09:42:48,45.29,34,卖盘
09:42:51,45.33,753,买盘
09:42:54,45.4,139,买盘
09:42:57,45.46,63,买盘
09:43:00,45.5,73,买盘
09:43:03,45.58,121,买盘
09:43:06,45.61,169,买盘
09:43:09,45.64,94,买盘
09:43:12,45.67,64,买盘
09:43:15,45.65,165,卖盘
09:43:18,45.65,209,卖盘
09:43:21,45.62,149,卖盘
09:43:24,45.62,90,卖盘
09:43:27,45.62,340,卖盘
09:43:30,45.56,201,卖盘
09:43:33,45.56,110,买盘
09:43:36,45.53,93,卖盘
09:43:39,45.56,24,买盘
09:43:42,45.59,104,买盘
09:43:45,45.57,196,卖盘
09:43:48,45.58,102,买盘
09:43:51,45.6,346,买盘
09:43:54,45.63,190,买盘
09:43:57,45.61,178,卖盘
09:44:00,45.6,338,卖盘
09:44:03,45.58,178,卖盘
09:44:06,45.58,188,卖盘
09:44:09,45.55,77,卖盘
09:44:12,45.54,101,卖盘
09:44:15,45.5,240,卖盘
09:44:18,45.47,125,卖盘
09:44:21,45.42,73,卖盘
09:44:24,45.42,71,卖盘
09:44:27,45.4,193,卖盘
09:44:30,45.42,168,买盘
09:44:33,45.41,120,卖盘
09:44:36,45.42,210,卖盘
09:44:39,45.51,268,买盘
09:44:42,45.55,236,买盘
09:44:45,45.55,327,买盘
09:44:48,45.54,167,卖盘
09:44:51,45.54,93,卖盘
09:44:54,45.54,36,卖盘
09:44:57,45.58,209,买盘
09:45:00,45.61,162,买盘
09:45:03,45.62,71,买盘
09:45:06,45.63,101,买盘
09:45:09,45.62,250,卖盘
09:45:12,45.6,225,卖盘
09:45:15,45.61,200,买盘
09:45:18,45.62,167,买盘
09:45:21,45.61,153,卖盘
09:45:24,45.64,96,买盘
09:45:27,45.68,367,买盘
09:45:30,45.7,588,买盘
09:45:33,45.75,62,买盘
09:45:36,45.77,39,买盘
09:45:39,45.73,273,卖盘
09:45:42,45.75,115,买盘
09:45:45,45.76,98,买盘
09:45:48,45.69,234,卖盘
09:45:51,45.68,147,卖盘
09:45:54,45.68,37,买盘
09:45:57,45.68,80,买盘
09:46:00,45.66,117,卖盘
09:46:03,45.73,79,买盘
09:46:06,45.73,48,买盘
09:46:09,45.69,145,卖盘
09:46:12,45.69,64,买盘
09:46:15,45.65,169,卖盘
09:46:18,45.68,86,买盘
09:46:21,45.65,50,卖盘
09:46:24,45.66,142,买盘
09:46:27,45.66,106,买盘
09:46:30,45.69,33,买盘
09:46:33,45.69,172,卖盘
09:46:36,45.66,121,卖盘
09:46:39,45.65,357,卖盘
09:46:42,45.66,137,买盘
09:46:45,45.67,49,买盘
09:46:48,45.67,585,卖盘
09:46:51,45.67,123,买盘
09:46:54,45.62,90,卖盘
09:46:57,45.57,442,卖盘
09:47:00,45.57,43,买盘
09:47:03,45.52,233,卖盘
09:47:06,45.56,57,买盘
09:47:09,45.5,160,卖盘
09:47:12,45.45,31,卖盘
09:47:15,45.45,32,卖盘
09:47:18,45.45,60,买盘
09:47:21,45.45,106,买盘
09:47:24,45.44,53,卖盘
09:47:27,45.43,6,卖盘
09:47:30,45.43,78,卖盘
09:47:33,45.4,108,卖盘
09:47:36,45.4,57,买盘
09:47:39,45.4,92,买盘
09:47:42,45.41,111,买盘
09:47:45,45.39,104,买盘
09:47:48,45.37,714,卖盘
09:47:51,45.39,87,买盘
09:47:54,45.35,885,卖盘
09:47:57,45.37,510,买盘
09:48:00,45.4,581,买盘
09:48:03,45.41,72,买盘
09:48:06,45.4,220,卖盘
09:48:09,45.48,304,买盘
09:48:12,45.49,422,买盘
09:48:15,45.53,18,买盘
09:48:18,45.52,136,卖盘
09:48:21,45.56,1218,买盘
09:48:24,45.56,28,买盘
09:48:27,45.57,6,买盘
09:48:30,45.57,18,卖盘
09:48:33,45.58,51,卖盘
09:48:36,45.57,70,卖盘
09:48:39,45.53,252,卖盘
09:48:42,45.55,28,买盘
09:48:45,45.53,26,卖盘
09:48:48,45.53,12,卖盘
09:48:51,45.53,171,卖盘
09:48:54,45.49,52,卖盘
09:48:57,45.48,27,卖盘
09:49:00,45.46,244,卖盘
09:49:03,45.48,773,买盘
09:49:06,45.5,56,买盘
09:49:09,45.49,125,卖盘
09:49:12,45.49,126,买盘
09:49:15,45.5,42,买盘
09:49:18,45.49,27,卖盘
09:49:21,45.45,94,卖盘
09:49:24,45.45,27,买盘
09:49:27,45.46,49,买盘
09:49:30,45.44,65,卖盘
09:49:33,45.44,99,买盘
09:49:36,45.42,191,卖盘
09:49:39,45.38,27,卖盘
09:49:42,45.37,8,卖盘
09:49:45,45.38,10,买盘
09:49:48,45.38,42,卖盘
09:49:51,45.41,114,买盘
09:49:54,45.4,213,卖盘
09:49:57,45.4,81,卖盘
09:50:00,45.4,116,卖盘
09:50:03,45.4,48,买盘
09:50:06,45.39,175,卖盘
09:50:09,45.37,137,卖盘
09:50:12,45.37,26,买盘
09:50:15,45.37,62,买盘
09:50:18,45.36,34,买盘
09:50:21,45.34,9,卖盘
09:50:24,45.33,122,卖盘
09:50:27,45.32,33,卖盘
09:50:30,45.31,19,卖盘
09:50:33,45.31,172,卖盘
09:50:36,45.31,74,买盘
09:50:39,45.3,74,卖盘
09:50:42,45.29,23,卖盘
09:50:45,45.28,55,卖盘
09:50:48,45.29,247,买盘
09:50:51,45.3,205,买盘
09:50:54,45.29,190,卖盘
